"path/middlewares","methods"
"/api/save-excel","POST"
"anonymous","POST"
"/api/paste-excel-into-word","POST"
"anonymous","POST"
"/api/collections","GET"
"anonymous","GET"
"/api/file-upload","POST"
"multerMiddleware","POST"
"anonymous","POST"
"/api/new-customer-data","POST"
"anonymous","POST"
"/api/create-category","POST"
"anonymous","POST"
"/api/upload-template","POST"
"multerMiddleware","POST"
"anonymous","POST"
"/api/upload-generated-document","POST"
"authenticateToken","POST"
"multerMiddleware","POST"
"anonymous","POST"
"/api/sections","GET"
"anonymous","GET"
"/api/template","GET"
"anonymous","GET"
"/api/templates","GET"
"anonymous","GET"
"/api/sow-template","GET"
"anonymous","GET"
"/api/login","POST"
"anonymous","POST"
"/api/logout","POST"
"anonymous","POST"
"/api/active-users","GET"
"anonymous","GET"
"/api/heartbeat","POST"
"anonymous","POST"
"/api/document/:id","GET"
"anonymous","GET"
"/api/data","POST"
"anonymous","POST"
"/api/register","POST"
"anonymous","POST"
"/api/update-user/:id","PUT"
"anonymous","PUT"
"/api/users","GET"
"anonymous","GET"
"/api/delete","POST"
"anonymous","POST"
"/trigger-download","GET"
"anonymous","GET"
"/api/logs","GET"
"anonymous","GET"
"/api/userlogs","GET"
"anonymous","GET"
"/api/document-processed","POST"
"anonymous","POST"
"/api/button-clicked","POST"
"anonymous","POST"
"/api/button-click-logs","GET"
"anonymous","GET"
"/api/excel-file","GET"
"anonymous","GET"
"/api/generate-editor-url1","POST"
"anonymous","POST"
"/api/generate-editor-url","POST"
"anonymous","POST"
"/document/:fileId","GET"
"anonymous","GET"
"/document","GET"
"anonymous","GET"
"/api/get-excel","GET"
"anonymous","GET"
"/api/generate-excel-editor-url1","POST"
"anonymous","POST"
"/api/generate-editor-url-excel","POST"
"anonymous","POST"
"/excel/:fileId","GET"
"anonymous","GET"
"/files/:folder","GET"
"anonymous","GET"
"/api/upload-image","POST"
"multerMiddleware","POST"
"anonymous","POST"
"/api/images/:fileId","GET"
"anonymous","GET"
"/api/delete-file/:folder/:fileId","DELETE"
"anonymous","DELETE"
"/files/upload/:folder","POST"
"multerMiddleware","POST"
"anonymous","POST"
"/api/documents","GET"
"anonymous","GET"
"/api/files/:fileId","GET"
"anonymous","GET"
"/files/special/:folder","GET"
"anonymous","GET"
"/api/create-folder","POST"
"anonymous","POST"
"/api/folder-structure","GET"
"anonymous","GET"
"/api/delete-folder","DELETE"
"anonymous","DELETE"
"/api/check-folder","POST"
"anonymous","POST"
"/api/rename-folder","PUT"
"anonymous","PUT"
"/api/files","GET"
"anonymous","GET"
"/api/create-category-folder","POST"
"anonymous","POST"
"/api/rename-file","PUT"
"anonymous","PUT"
"/api/delete-file","DELETE"
"anonymous","DELETE"
"/api/download-file","GET"
"anonymous","GET"
